call_id,location,signal_strength_dbm,call_duration_min,dropped_call,network_type,data_usage_mb
TC00040,Zone_D,-87.4,31,Yes,4G,142.9
TC00041,Zone_D,-87.6,4,No,4G,335.3
TC00042,Zone_D,-86.4,16,No,5G,478.9
TC00043,Zone_E,-74.6,5,No,5G,201.2
TC00044,Zone_E,-96.4,17,No,5G,577.8
TC00045,Zone_C,-89.9,14,Yes,4G,246.7
TC00046,Zone_A,-86.3,13,No,5G,505.1
TC00047,,-87.1,25,No,4G,384.0
TC00048,Zone_B,-78.8,9,No,4G,79.8
TC00049,Zone_B,-85.8,7,No,5G,351.5
TC00050,Zone_A,-81.1,21,No,5G,299.6
TC00051,Zone_C,-88.4,20,No,4G,178.7
TC00052,Zone_C,-110.6,18,Yes,4G,163.4
TC00053,Zone_C,-81.8,27,No,5G,209.0
TC00054,Zone_D,-80.5,14,No,5G,268.4
TC00055,Zone_D,-81.5,35,Yes,5G,843.9
TC00056,Zone_B,-97.5,10,No,4G,249.1
TC00057,Zone_B,-86.1,4,No,4G,334.5
TC00058,Zone_A,-84.7,31,No,5G,846.8
TC00059,Zone_E,-88.1,4,No,5G,456.5
TC00060,Zone_E,-92.5,2,No,5G,260.2
TC00061,Zone_D,-89.7,20,No,5G,402.1
TC00062,Zone_B,-82.7,23,No,5G,328.1
TC00063,Zone_B,-86.6,1,No,5G,100.6
TC00064,Zone_D,-82.9,29,No,5G,179.7
TC00065,Zone_E,-89.3,1,No,5G,138.2
TC00066,Zone_A,-85.5,3,No,5G,160.6
TC00067,Zone_B,-72.1,33,No,5G,341.1
TC00068,Zone_B,-79.8,5,No,5G,206.9
TC00069,Zone_A,-78.9,22,No,5G,312.2
TC00070,Zone_E,-83.0,12,No,5G,183.9
TC00071,Zone_E,-95.5,31,No,4G,662.6
TC00072,Zone_E,-95.6,30,No,4G,551.5
TC00073,Zone_C,-91.8,29,No,4G,354.0
TC00074,Zone_B,,3,No,4G,128.4
TC00075,Zone_A,-80.9,27,No,4G,370.3
TC00076,Zone_B,-79.8,31,No,5G,418.5
TC00077,Zone_B,-83.2,17,No,5G,560.4
TC00078,,-72.7,19,No,5G,268.9
TC00079,Zone_B,-102.2,16,No,5G,465.9
TC00080,Zone_E,-90.0,19,No,4G,69.5
TC00081,Zone_D,-62.0,8,No,5G,469.7
TC00082,Zone_A,-95.2,6,No,4G,530.4
TC00083,Zone_D,-86.7,8,No,5G,149.6
TC00084,Zone_D,-75.2,2,No,4G,342.3
TC00085,Zone_B,-106.1,32,No,4G,221.6
TC00086,Zone_B,-95.2,30,No,5G,718.0
TC00087,Zone_B,-65.3,28,No,5G,421.9
TC00088,Zone_D,-74.5,22,No,4G,297.4
TC00089,Zone_E,-74.7,9,No,5G,250.5
TC00090,Zone_D,-85.3,25,No,4G,169.1
TC00091,Zone_D,-65.7,32,No,4G,517.2
TC00092,Zone_B,-86.8,8,No,5G,260.9
TC00093,Zone_A,-107.3,1,No,4G,279.4
TC00094,Zone_D,-92.9,32,No,4G,146.6
TC00095,Zone_A,-78.7,27,No,4G,367.2
TC00096,Zone_A,-102.9,23,No,4G,92.4
TC00097,Zone_B,-64.7,31,No,5G,360.4
TC00098,Zone_A,-92.0,22,No,4G,284.6
TC00099,Zone_D,-79.6,22,No,5G,389.9
TC00100,Zone_D,-70.0,17,No,4G,368.2
TC00101,Zone_A,-80.1,28,No,5G,214.3
TC00102,Zone_D,-91.2,22,No,4G,317.5
TC00103,Zone_A,-81.5,11,No,4G,155.6
TC00104,Zone_B,-78.6,29,No,5G,375.9
TC00105,Zone_A,-97.7,7,No,5G,349.7
TC00106,Zone_C,-60.3,20,No,4G,81.1
TC00107,Zone_A,-91.4,17,No,4G,248.9
TC00108,Zone_D,-74.1,14,No,5G,173.6
TC00109,Zone_E,-92.2,12,No,4G,93.8
TC00110,Zone_B,-59.6,23,No,5G,73.4
TC00111,Zone_D,-86.4,34,No,5G,280.1
TC00112,Zone_B,-96.5,12,No,4G,497.8
TC00113,Zone_C,-94.2,21,No,5G,376.1
TC00114,Zone_A,-87.5,28,No,4G,368.8
TC00115,Zone_E,-61.9,18,No,4G,102.7
TC00116,Zone_B,-71.7,10,No,5G,149.1
TC00117,Zone_A,-85.3,32,No,4G,210.1
TC00118,Zone_D,-100.4,16,Yes,4G,750.1
TC00119,Zone_B,-105.6,32,No,4G,546.7
TC00120,Zone_B,-97.7,20,No,4G,174.8
TC00118,Zone_D,-100.4,16,Yes,4G,750.1
TC00054,Zone_D,-80.5,14,No,5G,268.4
TC00064,Zone_D,-82.9,29,No,5G,179.7
